text,lang,filename
Toscana,it,Toscana.mp3
Lombardia,it,Lombardia.mp3
Trentino-Alto Adige,it,Trentino-Alto Adige.mp3
Friuli-Venezia Giulia,it,Friuli-Venezia Giulia.mp3
Emilia-Romagna,it,Emilia-Romagna.mp3
Umbria,it,Umbria.mp3
Lazio,it,Lazio.mp3
Basilicata,it,Basilicata.mp3
Calabria,it,Calabria.mp3
Sardegna,it,Sardegna.mp3
Liguria,it,Liguria.mp3
